['python', 'pandas', 0.04]
['pandas', 'python', 0.04]
['html', 'redirect', 0.02]
['html', 'seo', 0.02]
['html', 'google-search', 0.02]
['redirect', 'html', 0.02]
['redirect', 'seo', 0.02]
['redirect', 'google-search', 0.02]
['seo', 'html', 0.02]
['seo', 'redirect', 0.02]
['seo', 'google-search', 0.02]
['google-search', 'html', 0.02]
['google-search', 'redirect', 0.02]
['google-search', 'seo', 0.02]
['prolog', 'swi-prolog', 0.02]
['swi-prolog', 'prolog', 0.02]
['javascript', 'math', 0.02]
['javascript', 'colors', 0.02]
['javascript', 'html5-canvas', 0.02]
['math', 'javascript', 0.02]
['math', 'colors', 0.02]
['math', 'html5-canvas', 0.02]
['colors', 'javascript', 0.02]
['colors', 'math', 0.02]
['colors', 'html5-canvas', 0.02]
['html5-canvas', 'javascript', 0.02]
['html5-canvas', 'math', 0.02]
['html5-canvas', 'colors', 0.02]
['c#', 'asp.net-mvc', 0.02]
['asp.net-mvc', 'c#', 0.02]
['python', 'python-3.x', 0.02]
['python', 'list', 0.02]
['python', 'multidimensional-array', 0.02]
['python-3.x', 'python', 0.02]
['python-3.x', 'list', 0.02]
['python-3.x', 'multidimensional-array', 0.02]
['list', 'python', 0.02]
['list', 'python-3.x', 0.02]
['list', 'multidimensional-array', 0.02]
['multidimensional-array', 'python', 0.02]
['multidimensional-array', 'python-3.x', 0.02]
['multidimensional-array', 'list', 0.02]
['c#', 'unity3d', 0.02]
['c#', 'virtual-reality', 0.02]
['c#', 'oculus', 0.02]
['unity3d', 'c#', 0.02]
['unity3d', 'virtual-reality', 0.02]
['unity3d', 'oculus', 0.02]
['virtual-reality', 'c#', 0.02]
['virtual-reality', 'unity3d', 0.02]
['virtual-reality', 'oculus', 0.02]
['oculus', 'c#', 0.02]
['oculus', 'unity3d', 0.02]
['oculus', 'virtual-reality', 0.02]
['pentaho', 'pentaho-spoon', 0.02]
['pentaho', 'pentaho-data-integration', 0.02]
['pentaho-spoon', 'pentaho', 0.02]
['pentaho-spoon', 'pentaho-data-integration', 0.02]
['pentaho-data-integration', 'pentaho', 0.02]
['pentaho-data-integration', 'pentaho-spoon', 0.02]
['java', 'dialogflow-v2', 0.02]
['dialogflow-v2', 'java', 0.02]
['django', 'django-models', 0.02]
['django', 'django-forms', 0.02]
